Part#	Descrip	Brand	Front Left Flange Diameter (mm)	Front Right Flange Diameter (mm) 	Front Left Center To Flange (mm)	Front Right Center To Flange (mm)	Front Holes	Rear Left Flange Diameter (mm)	Rear Right Flange Diameter (mm) 	Rear Left Center To Flange (mm)	Rear Right Center To Flange (mm)	Rear Holes
CR6030	Kris Holm 36H unicycle hub, 127mm crankset, blk	Kris Holm	0.00	0.00	0.00	0.00	0	56.00	56.00	33.50	33.50	36
CR6031	Kris Holm 36H unicycle hub, 140mm crankset, blk	Kris Holm	0.00	0.00	0.00	0.00	0	56.00	56.00	33.50	33.50	36
CR6034	Kris Holm Moment 36H unicycle hub & 127mm crankset	Kris Holm	0.00	0.00	0.00	0.00	0	56.00	56.00	37.25	37.25	36
CR6035	Kris Holm Moment 36H unicycle hub & 140mm crankset	Kris Holm	0.00	0.00	0.00	0.00	0	56.00	56.00	37.25	37.25	36
CR6037	Kris Holm Moment 36H unicycle hub & 150mm crankset	Kris Holm	0.00	0.00	0.00	0.00	0	56.00	56.00	37.25	37.25	36
CR6038	Kris Holm Moment 36H unicycle hub & 165mm crankset	Kris Holm	0.00	0.00	0.00	0.00	0	56.00	56.00	37.25	37.25	36
HU0100	NuVinci CVP rear hub, 32h, SIL	NuVinci	0.00	0.00	0.00	0.00	0	148.00	148.00	25.50	25.50	32
HU0101	NuVinci CVP rear hub, 36h, SIL	NuVinci	0.00	0.00	0.00	0.00	0	148.00	148.00	25.50	25.50	36
HU0103	NuVinci CVP Rear Hub, 32h, Silver	NuVinci	0.00	0.00	0.00	0.00	0	148.50	148.50	25.00	25.00	32
HU0104	NuVinci CVP Rear Hub, 36h, Silver	NuVinci	0.00	0.00	0.00	0.00	0	148.50	148.50	25.00	25.00	36
HU0130	I-9 Classic Front Hub 32H Black	Industry Nine	59.00	59.00	21.50	38.00	32	0.00	0.00	0.00	0.00	0
HU0131	I-9 Classic Front Hub 32H Red	Industry Nine	59.00	59.00	21.50	38.00	32	0.00	0.00	0.00	0.00	0
HU0132	I-9 Classic Front Hub 32H Silver	Industry Nine	59.00	59.00	21.50	38.00	32	0.00	0.00	0.00	0.00	0
HU0140	I-9 Classic Cassette Hub 32H Black	Industry Nine	0.00	0.00	0.00	0.00	0	59.00	68.00	34.00	21.50	32
HU0141	I-9 Classic Cassette Hub 32H Red	Industry Nine	0.00	0.00	0.00	0.00	0	59.00	68.00	34.00	21.50	32
HU0142	I-9 Classic Cassette Hub 32H Silver	Industry Nine	0.00	0.00	0.00	0.00	0	59.00	68.00	34.00	21.50	32
HU0150	I-9 Classic Front Hub 36H Black	Industry Nine	59.00	59.00	21.50	38.00	36	0.00	0.00	0.00	0.00	0
HU0170	I-9 DH150 Cassette Hub 32H Black	Industry Nine	0.00	0.00	0.00	0.00	0	59.75	68.00	31.00	29.00	32
HU0175	I-9 DH150 Cassette Hub 36H Black	Industry Nine	0.00	0.00	0.00	0.00	0	59.75	68.00	31.00	29.00	36
HU0180	I-9 Singlespeed Hub 32H Black	Industry Nine	0.00	0.00	0.00	0.00	0	59.00	68.00	37.00	38.00	32
HU0181	I-9 Singlespeed Hub 32H Red	Industry Nine	0.00	0.00	0.00	0.00	0	59.00	68.00	37.00	38.00	32
HU0182	I-9 Singlespeed Hub 32H Silver	Industry Nine	0.00	0.00	0.00	0.00	0	59.00	68.00	37.00	38.00	32
HU0200	Surly "NEW" front hub 	Surly	54.00	54.00	32.20	32.20	32	0.00	0.00	0.00	0.00	0
HU0201	Surly "NEW" front hub	Surly	54.00	54.00	32.20	32.20	32	0.00	0.00	0.00	0.00	0
HU0202	Surly "NEW" fixed gear hub, 120mm 	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	30.10	30.10	32
HU0203	Surly "NEW" fixed gear hub, 120mm 	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	30.10	30.10	32
HU0204	Surly "NEW" 1-speed hub135mm 	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	38.40	38.40	32
HU0205	Surly "NEW" 1-speed hub135mm 	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	38.40	38.40	32
HU0208	Surly NEW hub,32h, 135mm  silver, fixed/freewheel	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	38.40	38.40	32
HU0209	Surly Rear Mtn hub, fixed gear/freewheel, 135mm 32h Black	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	38.40	38.40	32
HU0210	Surly New Disc hub Front , silver 	Surly	58.00	58.00	23.00	32.00	32	0.00	0.00	0.00	0.00	0
HU0211	Surly New Disc hub Front, black	Surly	58.00	58.00	23.00	32.00	32	0.00	0.00	0.00	0.00	0
HU0212	Surly New Disc 1-speed rear hub, silver, 135mm	Surly	0.00	0.00	0.00	0.00	0	58.00	58.00	34.00	37.00	32
HU0213	Surly New Disc 1-speed rear hub, black, 135mm	Surly	0.00	0.00	0.00	0.00	0	58.00	58.00	34.00	37.00	32
HU0214	Surly NEW front hub, QR 32h Black	Surly	54.00	54.00	32.20	32.20	32	0.00	0.00	0.00	0.00	0
HU0215	Surly NEW 1-speed rear hub, black, 135mm	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	38.00	38.00	32
HU0216	Surly NEW Disc Front, Black, QR	Surly	58.00	58.00	23.00	32.00	32	0.00	0.00	0.00	0.00	0
HU0217	Surly NEW 1-speed rear, black, 135mm, QR	Surly	0.00	0.00	0.00	0.00	0	58.00	58.00	34.00	37.00	32
HU0218	Surly NEW front hub	Surly	54.00	54.00	32.20	32.20	36	0.00	0.00	0.00	0.00	0
HU0219	Surly NEW hub, track 120mm, silver, 36 hole	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	30.10	30.10	36
HU0220	Surly NEW hub,32h, 120mm  black, fixed/freewheel	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	30.00	30.00	32
HU0221	Surly NEW 1-speed rear, silver, 135mm	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	38.40	38.40	36
HU0222	Surly NEW Disc front, black	Surly	58.00	58.00	23.00	32.00	36	0.00	0.00	0.00	0.00	0
HU0223	Surly NEW Disc 1-speed rear hub, black, 135mm	Surly	0.00	0.00	0.00	0.00	0	58.00	58.00	34.00	37.00	36
HU0224	Surly NEW rear track hub, fixed/freewheel	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	30.00	30.00	32
HU0226	Surly hub 130mm,fix/free  32h, black	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	33.00	31.00	32
HU0227	Surly hub 130mm,fix/free  32h, silver	Surly	0.00	0.00	0.00	0.00	0	54.00	54.00	33.00	31.00	32
HU0231	Surly NEW Disc/Fixed Hub 135mm, 32h, Black	Surly	0.00	0.00	0.00	0.00	0	58.00	58.00	34.00	37.50	32
HU0236	Surly NEW QR Disc Hub, Front, Black, 36 Hole	Surly	58.00	58.00	23.00	31.00	36	0.00	0.00	0.00	0.00	0
HU0420	Formula Adaptor Hub CL-91 Front 32 hole Black	Formula Hubs	46.00	46.00	21.00	32.00	32	0.00	0.00	0.00	0.00	0
HU0422	Formula Adaptor Hub CL-91 Front QR 36 hole Black	Formula Hubs	46.00	46.00	21.00	32.00	36	0.00	0.00	0.00	0.00	0
HU0426	Formula Adapter Hub CL-32 Rear 32 hole Hub Black 6-bolt disc	Formula Hubs	0.00	0.00	0.00	0.00	0	45.50	45.50	33.50	21.00	32
HU0428	Formula Adapter Hub CL-32 Rr 36 hole Hub Blk 6-bolt disc	Formula Hubs	0.00	0.00	0.00	0.00	0	45.50	45.50	33.50	21.00	36
HU0430	Formula Adapter Hub XDH-51 Front 20mm thru-axle 32 hole Black	Formula Hubs	58.00	58.00	21.50	32.00	32	0.00	0.00	0.00	0.00	0
